"Washington","DC",38.9,-77.03
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.9,-77.02
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.9,-77.05
"Washington","DC",38.89,-77.01
"Washington","DC",38.9,-77.02
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.92,-77.02
"Washington","DC",38.89,-77.01
"Washington","DC",38.9,-77.04
"Washington","DC",38.91,-77.05
"Washington","DC",38.93,-77
"Washington","DC",38.88,-77.03
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.9,-77.03
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.91,-77.05
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.9,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.9,-77.04
"Washington","DC",38.89,-77.01
"Washington","DC",38.92,-77.06
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.9,-77.04
"Washington","DC",38.89,-77.01
"Washington","DC",38.87,-77.03
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.03
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.03
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.93,-77.02
"Washington","DC",38.93,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.87,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.83,-77.02
"Washington","DC",38.85,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.86,-77
"Washington","DC",38.82,-77.02
"Washington","DC",38.89,-77.01
"Washington","DC",38.87,-77
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.9,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.88,-77.02
"Washington","DC",38.9,-77.02
"Washington","DC",38.89,-77.01
"Washington","DC",38.88,-77.02
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.9,-77.06
"Washington","DC",38.89,-77.01
"Washington","DC",38.9,-77.03
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.9,-77.04
"Washington","DC",38.9,-77.04
"Washington","DC",38.89,-77.01
"Washington","DC",38.9,-77.04
"Washington","DC",38.9,-77.02
"Washington","DC",38.9,-77.05
"Washington","DC",38.89,-77.01
"Washington","DC",38.91,-77.05
"Washington","DC",38.92,-77.04
"Washington","DC",38.9,-77.02
"Washington","DC",38.89,-77.01
"Washington","DC",38.88,-77.03
"Washington","DC",38.9,-77.04
"Washington","DC",38.89,-77.01
"Washington","DC",38.9,-77.04
"Washington","DC",38.88,-77.02
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.9,-77.04
"Washington","DC",38.9,-77.04
"Washington","DC",38.9,-77.04
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.9,-77.04
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.05
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.05
"Washington","DC",38.89,-77.05
"Washington","DC",38.9,-77.03
"Washington","DC",38.89,-77.01
"Washington","DC",38.9,-77.04
"Washington","DC",38.9,-77.04
"Washington","DC",38.9,-77.03
"Washington","DC",38.89,-77.02
"Washington","DC",38.9,-77.02
"Washington","DC",38.9,-77.03
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.03
"Washington","DC",38.9,-77.02
"Washington","DC",38.89,-77.03
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77
"Washington","DC",38.89,-77
"Washington","DC",38.94,-77.03
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.02
"Washington","DC",38.89,-77.01
"Washington","DC",38.9,-77.02
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.05
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.02
"Washington","DC",38.89,-77.01
"Washington","DC",38.9,-77.04
"Washington","DC",38.89,-77
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.02
"Washington","DC",38.9,-77.06
"Washington","DC",38.9,-77.04
"Washington","DC",38.9,-77.03
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.02
"Washington","DC",38.9,-77.03
"Washington","DC",38.89,-77.01
"Washington","DC",38.9,-77.04
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.9,-77.05
"Washington","DC",38.88,-77.02
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
"Washington","DC",38.88,-77.02
"Washington","DC",38.89,-77.01
"Washington","DC",38.89,-77.01
